NO_LAPORAN,TGL_LAPORAN,MO,MO_clean,MO_casefold,MO_normalized,MO_tokens,MO_stopwords,MO_tokens_stemmed,MO_final_text
LP/B/16/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,23 Januari 2021,"Pelaku meminjam uang kepada korban sebesar Rp 50.000.000 dengan alasan biaya pengobatan orang tua, namun setelah jatuh tempo pelaku menghilang.",Pelaku meminjam uang kepada korban sebesar Rp dengan alasan biaya pengobatan orang tua namun setelah jatuh tempo pelaku menghilang,pelaku meminjam uang kepada korban sebesar rp dengan alasan biaya pengobatan orang tua namun setelah jatuh tempo pelaku menghilang,pelaku meminjam uang kepada korban sebesar rupiah dengan alasan biaya pengobatan orang tua namun setelah jatuh tempo pelaku menghilang,"['pelaku', 'meminjam', 'uang', 'kepada', 'korban', 'sebesar', 'rupiah', 'dengan', 'alasan', 'biaya', 'pengobatan', 'orang', 'tua', 'namun', 'setelah', 'jatuh', 'tempo', 'pelaku', 'menghilang']","['pelaku', 'meminjam', 'uang', 'korban', 'rupiah', 'alasan', 'biaya', 'pengobatan', 'orang', 'tua', 'jatuh', 'tempo', 'pelaku', 'menghilang']","['pelaku', 'pinjam', 'uang', 'korban', 'rupiah', 'alas', 'biaya', 'obat', 'orang', 'tua', 'jatuh', 'tempo', 'pelaku', 'hilang']",pelaku pinjam uang korban rupiah alas biaya obat orang tua jatuh tempo pelaku hilang
LP/B/17/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,24 Januari 2021,"Pelaku menagih hutang kepada korban namun korban belum bisa membayar, sehingga pelaku marah dan memukul punggung korban menggunakan kayu.",Pelaku menagih hutang kepada korban namun korban belum bisa membayar sehingga pelaku marah dan memukul punggung korban menggunakan kayu,pelaku menagih hutang kepada korban namun korban belum bisa membayar sehingga pelaku marah dan memukul punggung korban menggunakan kayu,pelaku menagih hutang kepada korban namun korban belum bisa membayar sehingga pelaku marah dan memukul punggung korban menggunakan kayu,"['pelaku', 'menagih', 'hutang', 'kepada', 'korban', 'namun', 'korban', 'belum', 'bisa', 'membayar', 'sehingga', 'pelaku', 'marah', 'dan', 'memukul', 'punggung', 'korban', 'menggunakan', 'kayu']","['pelaku', 'menagih', 'hutang', 'korban', 'korban', 'membayar', 'pelaku', 'marah', 'memukul', 'punggung', 'korban', 'kayu']","['pelaku', 'tagih', 'hutang', 'korban', 'korban', 'bayar', 'pelaku', 'marah', 'pukul', 'punggung', 'korban', 'kayu']",pelaku tagih hutang korban korban bayar pelaku marah pukul punggung korban kayu
LP/B/18/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,27 Januari 2021,Terlapor melemparkan HP pelapor dan merusaknya akibat cemburu,Terlapor melemparkan HP pelapor dan merusaknya akibat cemburu,terlapor melemparkan hp pelapor dan merusaknya akibat cemburu,terlapor melemparkan handphone pelapor dan merusaknya akibat cemburu,"['terlapor', 'melemparkan', 'handphone', 'pelapor', 'dan', 'merusaknya', 'akibat', 'cemburu']","['terlapor', 'melemparkan', 'handphone', 'pelapor', 'merusaknya', 'akibat', 'cemburu']","['terlapor', 'lempar', 'handphone', 'lapor', 'rusak', 'akibat', 'cemburu']",terlapor lempar handphone lapor rusak akibat cemburu
LP/B/19/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,27 Januari 2021,"Pelaku merusak kunci stang motor menggunakan kunci T saat motor diparkir di Dusun Melati, Sungai Rasau, Kec. Sungai Pinyuh, lalu membawanya kabur.",Pelaku merusak kunci stang motor menggunakan kunci T saat motor diparkir di Dusun Melati Sungai Rasau Kec Sungai Pinyuh lalu membawanya kabur,pelaku merusak kunci stang motor menggunakan kunci t saat motor diparkir di dusun melati sungai rasau kec sungai pinyuh lalu membawanya kabur,pelaku merusak kunci stang motor menggunakan kunci t saat motor diparkir di dusun melati sungai rasau kecamatan sungai pinyuh lalu membawanya kabur,"['pelaku', 'merusak', 'kunci', 'stang', 'motor', 'menggunakan', 'kunci', 't', 'saat', 'motor', 'diparkir', 'di', 'dusun', 'melati', 'sungai', 'rasau', 'kecamatan', 'sungai', 'pinyuh', 'lalu', 'membawanya', 'kabur']","['pelaku', 'merusak', 'kunci', 'stang', 'motor', 'kunci', 'motor', 'diparkir', 'dusun', 'melati', 'sungai', 'rasau', 'kecamatan', 'sungai', 'pinyuh', 'membawanya', 'kabur']","['pelaku', 'rusak', 'kunci', 'stang', 'motor', 'kunci', 'motor', 'parkir', 'dusun', 'melati', 'sungai', 'rasau', 'camat', 'sungai', 'pinyuh', 'bawa', 'kabur']",pelaku rusak kunci stang motor kunci motor parkir dusun melati sungai rasau camat sungai pinyuh bawa kabur
LP/B/20/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,29 Januari 2021,"Pelaku meminjam uang kepada korban sebesar Rp 15.000.000 dengan alasan menebus motor di pegadaian, namun setelah jatuh tempo pelaku menghilang.",Pelaku meminjam uang kepada korban sebesar Rp dengan alasan menebus motor di pegadaian namun setelah jatuh tempo pelaku menghilang,pelaku meminjam uang kepada korban sebesar rp dengan alasan menebus motor di pegadaian namun setelah jatuh tempo pelaku menghilang,pelaku meminjam uang kepada korban sebesar rupiah dengan alasan menebus motor di pegadaian namun setelah jatuh tempo pelaku menghilang,"['pelaku', 'meminjam', 'uang', 'kepada', 'korban', 'sebesar', 'rupiah', 'dengan', 'alasan', 'menebus', 'motor', 'di', 'pegadaian', 'namun', 'setelah', 'jatuh', 'tempo', 'pelaku', 'menghilang']","['pelaku', 'meminjam', 'uang', 'korban', 'rupiah', 'alasan', 'menebus', 'motor', 'pegadaian', 'jatuh', 'tempo', 'pelaku', 'menghilang']","['pelaku', 'pinjam', 'uang', 'korban', 'rupiah', 'alas', 'tebus', 'motor', 'gadai', 'jatuh', 'tempo', 'pelaku', 'hilang']",pelaku pinjam uang korban rupiah alas tebus motor gadai jatuh tempo pelaku hilang
LP/B/21/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,29 Januari 2021,"Pelaku menagih hutang kepada korban namun korban belum bisa membayar, sehingga pelaku marah dan memukul wajah korban dengan tangan kosong.",Pelaku menagih hutang kepada korban namun korban belum bisa membayar sehingga pelaku marah dan memukul wajah korban dengan tangan kosong,pelaku menagih hutang kepada korban namun korban belum bisa membayar sehingga pelaku marah dan memukul wajah korban dengan tangan kosong,pelaku menagih hutang kepada korban namun korban belum bisa membayar sehingga pelaku marah dan memukul wajah korban dengan tangan kosong,"['pelaku', 'menagih', 'hutang', 'kepada', 'korban', 'namun', 'korban', 'belum', 'bisa', 'membayar', 'sehingga', 'pelaku', 'marah', 'dan', 'memukul', 'wajah', 'korban', 'dengan', 'tangan', 'kosong']","['pelaku', 'menagih', 'hutang', 'korban', 'korban', 'membayar', 'pelaku', 'marah', 'memukul', 'wajah', 'korban', 'tangan', 'kosong']","['pelaku', 'tagih', 'hutang', 'korban', 'korban', 'bayar', 'pelaku', 'marah', 'pukul', 'wajah', 'korban', 'tangan', 'kosong']",pelaku tagih hutang korban korban bayar pelaku marah pukul wajah korban tangan kosong
LP/B/23/II/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,2 Februari 2021,Pelaku pergi ke warung dalam keadaan mabuk berat dankemudian merusak barang yang ada di warung tersebut.,Pelaku pergi ke warung dalam keadaan mabuk berat dankemudian merusak barang yang ada di warung tersebut,pelaku pergi ke warung dalam keadaan mabuk berat dankemudian merusak barang yang ada di warung tersebut,pelaku pergi ke warung dalam keadaan mabuk berat dankemudian merusak barang yang ada di warung tersebut,"['pelaku', 'pergi', 'ke', 'warung', 'dalam', 'keadaan', 'mabuk', 'berat', 'dankemudian', 'merusak', 'barang', 'yang', 'ada', 'di', 'warung', 'tersebut']","['pelaku', 'pergi', 'warung', 'mabuk', 'berat', 'dankemudian', 'merusak', 'barang', 'warung']","['pelaku', 'pergi', 'warung', 'mabuk', 'berat', 'dankemudian', 'rusak', 'barang', 'warung']",pelaku pergi warung mabuk berat dankemudian rusak barang warung
LP/B/25/II/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,10 Februari 2021,Pelaku masuk melalui pintu belakang yang tidak terkunci dan mengambil perhiasan emas seberat 10 gram.,Pelaku masuk melalui pintu belakang yang tidak terkunci dan mengambil perhiasan emas seberat gram,pelaku masuk melalui pintu belakang yang tidak terkunci dan mengambil perhiasan emas seberat gram,pelaku masuk melalui pintu belakang yang tidak terkunci dan mengambil perhiasan emas seberat gram,"['pelaku', 'masuk', 'melalui', 'pintu', 'belakang', 'yang', 'tidak', 'terkunci', 'dan', 'mengambil', 'perhiasan', 'emas', 'seberat', 'gram']","['pelaku', 'masuk', 'pintu', 'terkunci', 'mengambil', 'perhiasan', 'emas', 'seberat', 'gram']","['pelaku', 'masuk', 'pintu', 'kunci', 'ambil', 'hias', 'emas', 'berat', 'gram']",pelaku masuk pintu kunci ambil hias emas berat gram
LP/B/26/II/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,11 Februari 2021,"Pelaku mengambil 1 (satu) unit motor ketika pelapor sedang melaksanakan sholat subuh. Kerugian : Rp. 7.500.000,-",Pelaku mengambil satu unit motor ketika pelapor sedang melaksanakan sholat subuh Kerugian Rp,pelaku mengambil satu unit motor ketika pelapor sedang melaksanakan sholat subuh kerugian rp,pelaku mengambil satu unit motor ketika pelapor sedang melaksanakan sholat subuh kerugian rupiah,"['pelaku', 'mengambil', 'satu', 'unit', 'motor', 'ketika', 'pelapor', 'sedang', 'melaksanakan', 'sholat', 'subuh', 'kerugian', 'rupiah']","['pelaku', 'mengambil', 'unit', 'motor', 'pelapor', 'melaksanakan', 'sholat', 'subuh', 'kerugian', 'rupiah']","['pelaku', 'ambil', 'unit', 'motor', 'lapor', 'laksana', 'sholat', 'subuh', 'rugi', 'rupiah']",pelaku ambil unit motor lapor laksana sholat subuh rugi rupiah
LP/B/27/II/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,12 Februari 2021,"Anak pelapor a.n. Syifa datang sambil menangis menanyakan HP pelapor yang ada di toko milik pelapor dan setelah dicek HP tersebut sudah tidak ada lagi/hilang. Kerugian : Rp. 2.000.000,-",Anak pelapor a n Syifa datang sambil menangis menanyakan HP pelapor yang ada di toko milik pelapor dan setelah dicek HP tersebut sudah tidak ada lagi hilang Kerugian Rp,anak pelapor a n syifa datang sambil menangis menanyakan hp pelapor yang ada di toko milik pelapor dan setelah dicek hp tersebut sudah tidak ada lagi hilang kerugian rp,anak pelapor a n syifa datang sambil menangis menanyakan handphone pelapor yang ada di toko milik pelapor dan setelah dicek handphone tersebut sudah tidak ada lagi hilang kerugian rupiah,"['anak', 'pelapor', 'a', 'n', 'syifa', 'datang', 'sambil', 'menangis', 'menanyakan', 'handphone', 'pelapor', 'yang', 'ada', 'di', 'toko', 'milik', 'pelapor', 'dan', 'setelah', 'dicek', 'handphone', 'tersebut', 'sudah', 'tidak', 'ada', 'lagi', 'hilang', 'kerugian', 'rupiah']","['anak', 'pelapor', 'syifa', 'menangis', 'handphone', 'pelapor', 'toko', 'milik', 'pelapor', 'dicek', 'handphone', 'hilang', 'kerugian', 'rupiah']","['anak', 'lapor', 'syifa', 'menang', 'handphone', 'lapor', 'toko', 'milik', 'lapor', 'cek', 'handphone', 'hilang', 'rugi', 'rupiah']",anak lapor syifa menang handphone lapor toko milik lapor cek handphone hilang rugi rupiah
LP/B/28/II/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,12 Februari 2021,"Terlapor diketahui oleh pelapor telah mengambil HP merk Oppo milik pelapor yang ada dikocek sepmot milik pelapor. Kerugian : Rp. 5.000.000,-",Terlapor diketahui oleh pelapor telah mengambil HP merk Oppo milik pelapor yang ada dikocek sepmot milik pelapor Kerugian Rp,terlapor diketahui oleh pelapor telah mengambil hp merk oppo milik pelapor yang ada dikocek sepmot milik pelapor kerugian rp,terlapor diketahui oleh pelapor telah mengambil handphone merk oppo milik pelapor yang ada dikocek sepmot milik pelapor kerugian rupiah,"['terlapor', 'diketahui', 'oleh', 'pelapor', 'telah', 'mengambil', 'handphone', 'merk', 'oppo', 'milik', 'pelapor', 'yang', 'ada', 'dikocek', 'sepmot', 'milik', 'pelapor', 'kerugian', 'rupiah']","['terlapor', 'pelapor', 'mengambil', 'handphone', 'merk', 'oppo', 'milik', 'pelapor', 'dikocek', 'sepmot', 'milik', 'pelapor', 'kerugian', 'rupiah']","['terlapor', 'lapor', 'ambil', 'handphone', 'merk', 'oppo', 'milik', 'lapor', 'kocek', 'sepmot', 'milik', 'lapor', 'rugi', 'rupiah']",terlapor lapor ambil handphone merk oppo milik lapor kocek sepmot milik lapor rugi rupiah
